1,1,"JCI København",0,"a",2010-03-25,"tho",2010-03-25,"tho"
2,1,"JCI Horsens",0,"a",2010-03-25,"tho",2010-03-25,"tho"
3,1,"JCI Aalborg",0,"a",2010-03-25,"tho",2010-03-25,"tho"
4,1,"JCI 8000 Aarhus",0,"a",2010-03-25,"tho",2010-03-25,"tho"
5,1,"JCI Odense",0,"a",2010-03-25,"tho",2010-03-25,"tho"
6,1,"JCI Næstved",0,"a",2010-03-25,"tho",2010-03-25,"tho"
7,1,"JCI Herning",0,"a",2010-03-25,"tho",2010-03-25,"tho"
8,1,"JCI Holbæk",0,"a",2010-03-25,"tho",2010-03-25,"tho"
10,1,"JCI Silkeborg",0,"a",2010-03-25,"tho",2010-03-25,"tho"
11,1,"JCI Slagelse",0,"a",2010-03-25,"tho",2010-03-25,"tho"
13,1,"JCI Sønderborg",0,"a",2010-03-25,"tho",2010-03-25,"tho"
14,1,"JCI Guldborgsund",0,"a",2010-03-25,"tho",2010-03-25,"tho"
15,1,"JCI Vejle",0,"a",2010-03-25,"tho",2010-03-25,"tho"
17,1,"JCI Esbjerg",0,"a",2010-03-25,"tho",2010-03-25,"tho"
18,1,"JCI Hillerød",0,"a",2010-03-25,"tho",2010-03-25,"tho"
19,1,"JCI Svendborg",0,"a",2010-03-25,"tho",2010-03-25,"tho"
20,1,"JCI Hjørring",0,"a",2010-03-25,"tho",2010-03-25,"tho"
21,1,"JCI Viborg",0,"a",2010-03-25,"tho",2010-03-25,"tho"
22,1,"JCI Frederikshavn",0,"a",2010-03-25,"tho",2010-03-25,"tho"
23,1,"JCI Holstebro",0,"a",2010-03-25,"tho",2010-03-25,"tho"
25,1,"JCI Haderslev",0,"a",2010-03-25,"tho",2010-03-25,"tho"
27,1,"JCI Fredericia",0,"a",2010-03-25,"tho",2010-03-25,"tho"
28,1,"JCI Skive",0,"a",2010-03-25,"tho",2010-03-25,"tho"
37,1,"JCI Aabenraa",0,"a",2010-03-25,"tho",2010-03-25,"tho"
38,1,"JCI Lolland",0,"a",2010-03-25,"tho",2010-03-25,"tho"
40,1,"JCI Tønder",0,"a",2010-03-25,"tho",2010-03-25,"tho"
43,1,"JCI Thisted",0,"a",2010-03-25,"tho",2010-03-25,"tho"
54,1,"JCI Sct. Knud",0,"a",2010-03-25,"tho",2010-03-25,"tho"
58,1,"JCI Aalborghus",0,"a",2010-03-25,"tho",2010-03-25,"tho"
59,1,"JCI Ribe",0,"a",2010-03-25,"tho",2010-03-25,"tho"
60,1,"JCI Mariagerfjord",0,"a",2010-03-25,"tho",2010-03-25,"tho"
61,1,"JCI Vordingborg",0,"a",2010-03-25,"tho",2010-03-25,"tho"
65,1,"JCI Arosia",0,"a",2010-03-25,"tho",2010-03-25,"tho"
66,1,"JCI Brønderslev",0,"a",2010-03-25,"tho",2010-03-25,"tho"
68,1,"JCI Sæby",0,"a",2010-03-25,"tho",2010-03-25,"tho"
71,1,"JCI Faxe",0,"a",2010-03-25,"tho",2010-03-25,"tho"
72,1,"JCI Mors",0,"a",2010-03-25,"tho",2010-03-25,"tho"
74,1,"JCI Amager",0,"a",2010-03-25,"tho",2010-03-25,"tho"
76,1,"JCI Vejen",0,"a",2010-03-25,"tho",2010-03-25,"tho"
84,1,"JCI Djursland",0,"a",2010-03-25,"tho",2010-03-25,"tho"
100,1,"JCI Marselis",0,"a",2010-03-25,"tho",2010-03-25,"tho"
110,1,"JCI Ørestad",0,"a",2010-03-25,"tho",2010-03-25,"tho"
113,1,"JCI Kolding",0,"a",2010-03-25,"tho",2010-03-25,"tho"
115,1,"JCI Wonderful Copenhagen",0,"a",2010-03-25,"tho",2010-03-25,"tho"
116,1,"JCI Randers",0,"a",2010-03-25,"tho",2010-03-25,"tho"
117,1,"JCI Copenhagen International",0,"a",2010-03-25,"tho",2010-03-25,"tho"
122,1,"JCI 2100",0,"a",2010-03-25,"tho",2010-03-25,"tho"
123,1,"JCI Ikast",0,"a",2010-03-25,"tho",2010-03-25,"tho"
125,1,"JCI Leadership Aarhus",0,"a",2010-03-25,"tho",2010-03-25,"tho"
126,1,"JCI Business SydVest",0,"a",2010-03-25,"tho",2010-03-25,"tho"
